Station,DATE,Average Wind Speed,Precipitation,Snowfall,Max Temperature
"LA GUARDIA AIRPORT, NY US",2/22/18,12.08,0.11,0,58
"LA GUARDIA AIRPORT, NY US",2/23/18,9.62,0.07,0,44
"LA GUARDIA AIRPORT, NY US",2/24/18,8.05,0.07,0,54
"LA GUARDIA AIRPORT, NY US",2/25/18,9.62,0.77,0,45
"LA GUARDIA AIRPORT, NY US",2/26/18,9.17,0,0,52
"LA GUARDIA AIRPORT, NY US",2/27/18,8.72,0,0,57
"LA GUARDIA AIRPORT, NY US",2/28/18,9.84,0,0,62
"LA GUARDIA AIRPORT, NY US",3/1/18,8.28,0.42,0,59
"LA GUARDIA AIRPORT, NY US",3/2/18,25.05,1.76,0,44
"LA GUARDIA AIRPORT, NY US",3/3/18,22.59,0,0,47
"LA GUARDIA AIRPORT, NY US",3/4/18,19.01,0,0,44
"LA GUARDIA AIRPORT, NY US",3/5/18,15.88,0,0,42
"LA GUARDIA AIRPORT, NY US",3/6/18,9.4,0,0,47
"LA GUARDIA AIRPORT, NY US",3/7/18,18.79,0.9,1.7,39
"LA GUARDIA AIRPORT, NY US",3/8/18,12.75,0,0,42
"LA GUARDIA AIRPORT, NY US",3/9/18,17.45,0,0,44
"LA GUARDIA AIRPORT, NY US",3/10/18,15.21,0,0,41
"LA GUARDIA AIRPORT, NY US",3/11/18,10.51,0,0,46
"LA GUARDIA AIRPORT, NY US",3/12/18,13.2,0.04,0,43
"LA GUARDIA AIRPORT, NY US",3/13/18,16.78,0.22,0.2,42
"LA GUARDIA AIRPORT, NY US",3/14/18,19.24,0,0.1,42
"LA GUARDIA AIRPORT, NY US",3/15/18,16.55,0,0,48
"LA GUARDIA AIRPORT, NY US",3/16/18,20.36,0,0,40
"LA GUARDIA AIRPORT, NY US",3/17/18,15.21,0,0,48
"LA GUARDIA AIRPORT, NY US",3/18/18,11.41,0,0,44
"LA GUARDIA AIRPORT, NY US",3/19/18,8.72,0,0,47
"LA GUARDIA AIRPORT, NY US",3/20/18,12.97,0,0,39
"LA GUARDIA AIRPORT, NY US",3/21/18,17,0.63,8.7,40
"LA GUARDIA AIRPORT, NY US",3/22/18,16.33,0.01,0.9,51
"LA GUARDIA AIRPORT, NY US",3/23/18,12.3,0,0,50
"LA GUARDIA AIRPORT, NY US",3/24/18,11.18,0,0,51
"LA GUARDIA AIRPORT, NY US",3/25/18,12.08,0,0,44
"LA GUARDIA AIRPORT, NY US",3/26/18,9.84,0,0,50
"LA GUARDIA AIRPORT, NY US",3/27/18,6.71,0.01,0,45
"LA GUARDIA AIRPORT, NY US",3/28/18,6.04,0.03,0,52
"LA GUARDIA AIRPORT, NY US",3/29/18,6.71,0.02,0,53
"LA GUARDIA AIRPORT, NY US",3/30/18,10.51,0.04,0,60
"LA GUARDIA AIRPORT, NY US",3/31/18,11.18,0,0,57
"LA GUARDIA AIRPORT, NY US",4/1/18,11.63,0,0,59
"LA GUARDIA AIRPORT, NY US",4/2/18,8.5,0.55,5.5,43
"LA GUARDIA AIRPORT, NY US",4/3/18,9.17,0.27,0,44
"LA GUARDIA AIRPORT, NY US",4/4/18,14.76,0.12,0,57
"LA GUARDIA AIRPORT, NY US",4/5/18,18.12,0,0,46
"LA GUARDIA AIRPORT, NY US",4/6/18,11.18,0.09,0,62
"LA GUARDIA AIRPORT, NY US",4/7/18,12.75,0,0,49
"LA GUARDIA AIRPORT, NY US",4/8/18,15.66,0,0,45
"LA GUARDIA AIRPORT, NY US",4/9/18,10.51,0,0,49
"LA GUARDIA AIRPORT, NY US",4/10/18,9.62,0,0,50
"LA GUARDIA AIRPORT, NY US",4/11/18,7.38,0,0,52
"LA GUARDIA AIRPORT, NY US",4/12/18,9.84,0,0,60
"LA GUARDIA AIRPORT, NY US",4/13/18,12.3,0,0,82
"LA GUARDIA AIRPORT, NY US",4/14/18,12.75,0,0,69
"LA GUARDIA AIRPORT, NY US",4/15/18,21.7,0.36,0,46
"LA GUARDIA AIRPORT, NY US",4/16/18,20.13,2.5,0,61
"LA GUARDIA AIRPORT, NY US",4/17/18,15.21,0,0,47
"LA GUARDIA AIRPORT, NY US",4/18/18,12.08,0,0,55
"LA GUARDIA AIRPORT, NY US",4/19/18,14.09,0.15,0,48
"LA GUARDIA AIRPORT, NY US",4/20/18,16.78,0,0,50
"LA GUARDIA AIRPORT, NY US",4/21/18,12.08,0,0,62
"LA GUARDIA AIRPORT, NY US",4/22/18,8.5,0,0,65
"LA GUARDIA AIRPORT, NY US",4/23/18,8.05,0,0,65
"LA GUARDIA AIRPORT, NY US",4/24/18,10.07,0.03,0,66
"LA GUARDIA AIRPORT, NY US",4/25/18,10.96,0.51,0,61
"LA GUARDIA AIRPORT, NY US",4/26/18,12.08,0.17,0,70
"LA GUARDIA AIRPORT, NY US",4/27/18,8.05,0.05,0,57
"LA GUARDIA AIRPORT, NY US",4/28/18,8.5,0.07,0,66
"LA GUARDIA AIRPORT, NY US",4/29/18,14.54,0.15,0,58
"LA GUARDIA AIRPORT, NY US",4/30/18,15.21,0,0,52
"LA GUARDIA AIRPORT, NY US",5/1/18,9.17,0,0,82
"LA GUARDIA AIRPORT, NY US",5/2/18,12.75,0,0,90
"LA GUARDIA AIRPORT, NY US",5/3/18,10.51,0.01,0,93
"LA GUARDIA AIRPORT, NY US",5/4/18,9.17,0,0,84
"LA GUARDIA AIRPORT, NY US",5/5/18,11.18,0,0,76
"LA GUARDIA AIRPORT, NY US",5/6/18,8.05,0,0,68
"LA GUARDIA AIRPORT, NY US",5/7/18,6.71,0,0,75
"LA GUARDIA AIRPORT, NY US",5/8/18,6.49,0,0,72
"LA GUARDIA AIRPORT, NY US",5/9/18,6.26,0,0,74
"LA GUARDIA AIRPORT, NY US",5/10/18,6.71,0.19,0,66
"LA GUARDIA AIRPORT, NY US",5/11/18,10.51,0,0,73
"LA GUARDIA AIRPORT, NY US",5/12/18,8.5,0.2,0,64
"LA GUARDIA AIRPORT, NY US",5/13/18,7.38,0.08,0,56
"LA GUARDIA AIRPORT, NY US",5/14/18,6.26,0.02,0,71
"LA GUARDIA AIRPORT, NY US",5/15/18,9.17,0.44,0,92
"LA GUARDIA AIRPORT, NY US",5/16/18,8.72,0.42,0,65
"LA GUARDIA AIRPORT, NY US",5/17/18,5.37,0.24,0,73
"LA GUARDIA AIRPORT, NY US",5/18/18,12.53,0,0,67
"LA GUARDIA AIRPORT, NY US",5/19/18,10.29,0.64,0,56
"LA GUARDIA AIRPORT, NY US",5/20/18,9.62,0,0,84
"LA GUARDIA AIRPORT, NY US",5/21/18,7.61,0,0,79
"LA GUARDIA AIRPORT, NY US",5/22/18,5.37,0.21,0,70
"LA GUARDIA AIRPORT, NY US",5/23/18,7.16,0.21,0,82
"LA GUARDIA AIRPORT, NY US",5/24/18,8.5,0,0,86
"LA GUARDIA AIRPORT, NY US",5/25/18,11.86,0,0,89
"LA GUARDIA AIRPORT, NY US",5/26/18,8.28,0,0,92
"LA GUARDIA AIRPORT, NY US",5/27/18,15.43,0.53,0,82
"LA GUARDIA AIRPORT, NY US",5/28/18,8.05,0,0,70
"LA GUARDIA AIRPORT, NY US",5/29/18,6.49,0,0,87
"LA GUARDIA AIRPORT, NY US",5/30/18,8.95,0,0,77
"LA GUARDIA AIRPORT, NY US",5/31/18,7.83,0.05,0,70
"LA GUARDIA AIRPORT, NY US",6/1/18,6.49,0.05,0,82
"LA GUARDIA AIRPORT, NY US",6/2/18,9.17,0.01,0,87
"LA GUARDIA AIRPORT, NY US",6/3/18,12.97,0.3,0,67
"LA GUARDIA AIRPORT, NY US",6/4/18,9.84,0.35,0,72
"LA GUARDIA AIRPORT, NY US",6/5/18,9.4,0,0,77
"LA GUARDIA AIRPORT, NY US",6/6/18,7.83,0,0,71
"LA GUARDIA AIRPORT, NY US",6/7/18,9.62,0,0,71
"LA GUARDIA AIRPORT, NY US",6/8/18,7.38,0,0,83
"LA GUARDIA AIRPORT, NY US",6/9/18,7.61,0,0,81
"LA GUARDIA AIRPORT, NY US",6/10/18,5.82,0.01,0,73
"LA GUARDIA AIRPORT, NY US",6/11/18,8.72,0,0,73
"LA GUARDIA AIRPORT, NY US",6/12/18,10.07,0,0,75
"LA GUARDIA AIRPORT, NY US",6/13/18,8.95,0.03,0,81
"LA GUARDIA AIRPORT, NY US",6/14/18,15.21,0,0,86
"LA GUARDIA AIRPORT, NY US",6/15/18,10.07,0,0,77
"LA GUARDIA AIRPORT, NY US",6/16/18,6.04,0,0,86
"LA GUARDIA AIRPORT, NY US",6/17/18,6.71,0,0,91
"LA GUARDIA AIRPORT, NY US",6/18/18,12.08,0.05,0,92
"LA GUARDIA AIRPORT, NY US",6/19/18,10.51,0.05,0,89
"LA GUARDIA AIRPORT, NY US",6/20/18,7.61,0.01,0,84
"LA GUARDIA AIRPORT, NY US",6/21/18,6.93,1.08,0,86
"LA GUARDIA AIRPORT, NY US",6/22/18,11.18,0.1,0,75
"LA GUARDIA AIRPORT, NY US",6/23/18,10.51,0,0,67
"LA GUARDIA AIRPORT, NY US",6/24/18,8.5,0.01,0,88
"LA GUARDIA AIRPORT, NY US",6/25/18,10.96,0,0,82
"LA GUARDIA AIRPORT, NY US",6/26/18,11.41,0,0,77
"LA GUARDIA AIRPORT, NY US",6/27/18,12.53,0.07,0,75
"LA GUARDIA AIRPORT, NY US",6/28/18,9.4,1.48,0,87
"LA GUARDIA AIRPORT, NY US",6/29/18,9.17,0,0,92
"LA GUARDIA AIRPORT, NY US",6/30/18,6.04,0,0,96
"LA GUARDIA AIRPORT, NY US",7/1/18,5.82,0,0,97
"LA GUARDIA AIRPORT, NY US",7/2/18,9.17,0,0,95
"LA GUARDIA AIRPORT, NY US",7/3/18,7.38,0.01,0,91
"LA GUARDIA AIRPORT, NY US",7/4/18,7.83,0,0,90
"LA GUARDIA AIRPORT, NY US",7/5/18,10.96,0,0,90
"LA GUARDIA AIRPORT, NY US",7/6/18,12.53,0.09,0,83
"LA GUARDIA AIRPORT, NY US",7/7/18,11.41,0,0,78
"LA GUARDIA AIRPORT, NY US",7/8/18,6.26,0,0,84
"LA GUARDIA AIRPORT, NY US",7/9/18,8.28,0,0,90
"LA GUARDIA AIRPORT, NY US",7/10/18,6.93,0,0,97
"LA GUARDIA AIRPORT, NY US",7/11/18,9.84,0,0,87
"LA GUARDIA AIRPORT, NY US",7/12/18,8.28,0.59,0,85
"LA GUARDIA AIRPORT, NY US",7/13/18,8.05,0,0,86
"LA GUARDIA AIRPORT, NY US",7/14/18,9.84,0.33,0,91
"LA GUARDIA AIRPORT, NY US",7/15/18,6.71,0.7,0,87
"LA GUARDIA AIRPORT, NY US",7/16/18,8.28,0,0,93
"LA GUARDIA AIRPORT, NY US",7/17/18,10.29,1.6,0,89
"LA GUARDIA AIRPORT, NY US",7/18/18,10.96,0,0,85
"LA GUARDIA AIRPORT, NY US",7/19/18,8.95,0,0,83
"LA GUARDIA AIRPORT, NY US",7/20/18,8.72,0,0,84
"LA GUARDIA AIRPORT, NY US",7/21/18,14.32,0.43,0,79
"LA GUARDIA AIRPORT, NY US",7/22/18,17,0.6,0,84
"LA GUARDIA AIRPORT, NY US",7/23/18,15.21,0.11,0,86
"LA GUARDIA AIRPORT, NY US",7/24/18,16.55,0,0,87
"LA GUARDIA AIRPORT, NY US",7/25/18,14.32,0.76,0,81
"LA GUARDIA AIRPORT, NY US",7/26/18,7.61,0,0,89
"LA GUARDIA AIRPORT, NY US",7/27/18,8.05,0.06,0,90
"LA GUARDIA AIRPORT, NY US",7/28/18,6.71,0,0,89
"LA GUARDIA AIRPORT, NY US",7/29/18,7.83,0,0,84
"LA GUARDIA AIRPORT, NY US",7/30/18,6.71,0,0,82
"LA GUARDIA AIRPORT, NY US",7/31/18,7.83,0,0,83
"LA GUARDIA AIRPORT, NY US",8/1/18,11.63,0.04,0,93
"LA GUARDIA AIRPORT, NY US",8/2/18,8.28,0.21,0,92
"LA GUARDIA AIRPORT, NY US",8/3/18,9.17,0.19,0,87
"LA GUARDIA AIRPORT, NY US",8/4/18,7.61,1.34,0,89
"LA GUARDIA AIRPORT, NY US",8/5/18,4.47,0,0,94
"LA GUARDIA AIRPORT, NY US",8/6/18,6.49,0,0,95
"LA GUARDIA AIRPORT, NY US",8/7/18,9.62,0,0,92
"LA GUARDIA AIRPORT, NY US",8/8/18,6.71,0,0,93
"LA GUARDIA AIRPORT, NY US",8/9/18,9.62,0.57,0,90
"LA GUARDIA AIRPORT, NY US",8/10/18,6.26,0,0,91
"LA GUARDIA AIRPORT, NY US",8/11/18,7.61,1.95,0,83
"LA GUARDIA AIRPORT, NY US",8/12/18,9.62,0,0,84
"LA GUARDIA AIRPORT, NY US",8/13/18,11.86,0.61,0,75
"LA GUARDIA AIRPORT, NY US",8/14/18,7.83,0.58,0,87
"LA GUARDIA AIRPORT, NY US",8/15/18,11.18,0,0,91
"LA GUARDIA AIRPORT, NY US",8/16/18,8.28,0,0,93
"LA GUARDIA AIRPORT, NY US",8/17/18,10.51,0.61,0,91
"LA GUARDIA AIRPORT, NY US",8/18/18,8.95,0.06,0,90
"LA GUARDIA AIRPORT, NY US",8/19/18,12.75,0.13,0,75
"LA GUARDIA AIRPORT, NY US",8/20/18,9.62,0,0,77
"LA GUARDIA AIRPORT, NY US",8/21/18,8.72,0.07,0,81
"LA GUARDIA AIRPORT, NY US",8/22/18,12.53,0.28,0,87
"LA GUARDIA AIRPORT, NY US",8/23/18,11.41,0,0,80
"LA GUARDIA AIRPORT, NY US",8/24/18,8.05,0,0,85
"LA GUARDIA AIRPORT, NY US",8/25/18,6.93,0,0,81
"LA GUARDIA AIRPORT, NY US",8/26/18,9.17,0,0,85
"LA GUARDIA AIRPORT, NY US",8/27/18,6.71,0,0,91
"LA GUARDIA AIRPORT, NY US",8/28/18,9.17,0,0,98
"LA GUARDIA AIRPORT, NY US",8/29/18,10.07,0,0,97
"LA GUARDIA AIRPORT, NY US",8/30/18,10.51,0,0,91
"LA GUARDIA AIRPORT, NY US",8/31/18,12.3,0.02,0,79
"LA GUARDIA AIRPORT, NY US",9/1/18,9.4,0,0,79
"LA GUARDIA AIRPORT, NY US",9/2/18,6.93,0,0,82
"LA GUARDIA AIRPORT, NY US",9/3/18,6.93,0,0,93
"LA GUARDIA AIRPORT, NY US",9/4/18,7.38,0,0,93
"LA GUARDIA AIRPORT, NY US",9/5/18,8.28,0,0,91
"LA GUARDIA AIRPORT, NY US",9/6/18,8.05,0.22,0,96
"LA GUARDIA AIRPORT, NY US",9/7/18,11.18,0,0,77
"LA GUARDIA AIRPORT, NY US",9/8/18,11.63,0.01,0,73
"LA GUARDIA AIRPORT, NY US",9/9/18,15.21,0.28,0,66
"LA GUARDIA AIRPORT, NY US",9/10/18,15.88,0.94,0,67
"LA GUARDIA AIRPORT, NY US",9/11/18,5.59,0.03,0,75
"LA GUARDIA AIRPORT, NY US",9/12/18,7.61,0.12,0,78
"LA GUARDIA AIRPORT, NY US",9/13/18,11.41,0.14,0,77
"LA GUARDIA AIRPORT, NY US",9/14/18,10.74,0,0,77
"LA GUARDIA AIRPORT, NY US",9/15/18,6.04,0,0,82
"LA GUARDIA AIRPORT, NY US",9/16/18,4.92,0,0,86
"LA GUARDIA AIRPORT, NY US",9/17/18,8.5,0.04,0,80
"LA GUARDIA AIRPORT, NY US",9/18/18,8.72,1.99,0,83
"LA GUARDIA AIRPORT, NY US",9/19/18,7.61,0,0,82
"LA GUARDIA AIRPORT, NY US",9/20/18,9.17,0,0,73
"LA GUARDIA AIRPORT, NY US",9/21/18,12.53,0,0,74
"LA GUARDIA AIRPORT, NY US",9/22/18,11.41,0,0,76
"LA GUARDIA AIRPORT, NY US",9/23/18,8.28,0,0,68
"LA GUARDIA AIRPORT, NY US",9/24/18,14.99,0,0,72
"LA GUARDIA AIRPORT, NY US",9/25/18,13.65,1.13,0,78
"LA GUARDIA AIRPORT, NY US",9/26/18,9.4,0.15,0,83
"LA GUARDIA AIRPORT, NY US",9/27/18,11.41,0.01,0,75
"LA GUARDIA AIRPORT, NY US",9/28/18,8.95,0.83,0,66
"LA GUARDIA AIRPORT, NY US",9/29/18,6.71,0,0,75
"LA GUARDIA AIRPORT, NY US",9/30/18,7.16,0,0,73
"LA GUARDIA AIRPORT, NY US",10/1/18,6.93,0,0,78
"LA GUARDIA AIRPORT, NY US",10/2/18,9.62,0.56,0,79
"LA GUARDIA AIRPORT, NY US",10/3/18,8.05,0,0,77
"LA GUARDIA AIRPORT, NY US",10/4/18,5.59,0.04,0,79
"LA GUARDIA AIRPORT, NY US",10/5/18,9.62,0,0,73
"LA GUARDIA AIRPORT, NY US",10/6/18,8.05,0,0,70
"LA GUARDIA AIRPORT, NY US",10/7/18,5.14,0,0,82
"LA GUARDIA AIRPORT, NY US",10/8/18,10.07,0,0,73
"LA GUARDIA AIRPORT, NY US",10/9/18,7.38,0,0,78
"LA GUARDIA AIRPORT, NY US",10/10/18,7.83,0,0,82
"LA GUARDIA AIRPORT, NY US",10/11/18,8.05,0.63,0,80
"LA GUARDIA AIRPORT, NY US",10/12/18,17.22,0.52,0,72
"LA GUARDIA AIRPORT, NY US",10/13/18,10.51,0.05,0,59
"LA GUARDIA AIRPORT, NY US",10/14/18,6.71,0,0,60
"LA GUARDIA AIRPORT, NY US",10/15/18,10.96,0.04,0,70
"LA GUARDIA AIRPORT, NY US",10/16/18,12.97,0.02,0,62
"LA GUARDIA AIRPORT, NY US",10/17/18,16.11,0,0,64
"LA GUARDIA AIRPORT, NY US",10/18/18,14.76,0,0,53
"LA GUARDIA AIRPORT, NY US",10/19/18,10.96,0,0,63
"LA GUARDIA AIRPORT, NY US",10/20/18,11.63,0.07,0,65
"LA GUARDIA AIRPORT, NY US",10/21/18,18.34,0,0,54
"LA GUARDIA AIRPORT, NY US",10/22/18,9.62,0,0,52
"LA GUARDIA AIRPORT, NY US",10/23/18,10.74,0,0,67
"LA GUARDIA AIRPORT, NY US",10/24/18,18.12,0,0,56
"LA GUARDIA AIRPORT, NY US",10/25/18,14.76,0,0,52
"LA GUARDIA AIRPORT, NY US",10/26/18,7.61,0,0,50
"LA GUARDIA AIRPORT, NY US",10/27/18,22.37,1.01,0,53
"LA GUARDIA AIRPORT, NY US",10/28/18,9.4,0.05,0,54
"LA GUARDIA AIRPORT, NY US",10/29/18,12.75,0.03,0,58
"LA GUARDIA AIRPORT, NY US",10/30/18,12.53,0,0,57
"LA GUARDIA AIRPORT, NY US",10/31/18,8.05,0,0,64
"LA GUARDIA AIRPORT, NY US",11/1/18,7.61,0,0,71
"LA GUARDIA AIRPORT, NY US",11/2/18,11.63,0.1,0,69
"LA GUARDIA AIRPORT, NY US",11/3/18,15.66,0.23,0,66
"LA GUARDIA AIRPORT, NY US",11/4/18,7.61,0,0,57
"LA GUARDIA AIRPORT, NY US",11/5/18,13.2,0.35,0,55
"LA GUARDIA AIRPORT, NY US",11/6/18,7.83,0.83,0,61
"LA GUARDIA AIRPORT, NY US",11/7/18,13.42,0,0,65
"LA GUARDIA AIRPORT, NY US",11/8/18,10.51,0,0,58
"LA GUARDIA AIRPORT, NY US",11/9/18,12.75,0.72,0,54
"LA GUARDIA AIRPORT, NY US",11/10/18,16.55,0.02,0,51
"LA GUARDIA AIRPORT, NY US",11/11/18,10.51,0,0,48
"LA GUARDIA AIRPORT, NY US",11/12/18,5.37,0.04,0,50
"LA GUARDIA AIRPORT, NY US",11/13/18,13.65,1.11,0,53
"LA GUARDIA AIRPORT, NY US",11/14/18,17,0,0,43
"LA GUARDIA AIRPORT, NY US",11/15/18,15.66,0.98,4.7,41
"LA GUARDIA AIRPORT, NY US",11/16/18,19.69,0.29,0,46
"LA GUARDIA AIRPORT, NY US",11/17/18,13.2,0,0,48
"LA GUARDIA AIRPORT, NY US",11/18/18,7.38,0,0,44
"LA GUARDIA AIRPORT, NY US",11/19/18,5.14,0,0,52
"LA GUARDIA AIRPORT, NY US",11/20/18,12.08,0,0,47
"LA GUARDIA AIRPORT, NY US",11/21/18,15.66,0,0,45
"LA GUARDIA AIRPORT, NY US",11/22/18,18.57,0,0,29
"LA GUARDIA AIRPORT, NY US",11/23/18,7.38,0,0,32
"LA GUARDIA AIRPORT, NY US",11/24/18,10.96,0.87,0,49
"LA GUARDIA AIRPORT, NY US",11/25/18,10.29,0.66,0,56
"LA GUARDIA AIRPORT, NY US",11/26/18,13.87,0.86,0,54
"LA GUARDIA AIRPORT, NY US",11/27/18,17,0.02,0,48
"LA GUARDIA AIRPORT, NY US",11/28/18,19.46,0,0,42
"LA GUARDIA AIRPORT, NY US",11/29/18,19.46,0,0,46
"LA GUARDIA AIRPORT, NY US",11/30/18,5.37,0.01,0,43
"LA GUARDIA AIRPORT, NY US",12/1/18,6.26,0.04,0,45
"LA GUARDIA AIRPORT, NY US",12/2/18,7.83,0.8,0,57
"LA GUARDIA AIRPORT, NY US",12/3/18,14.54,0,0,56
"LA GUARDIA AIRPORT, NY US",12/4/18,15.43,0,0,46
"LA GUARDIA AIRPORT, NY US",12/5/18,9.17,0,0,39
"LA GUARDIA AIRPORT, NY US",12/6/18,12.97,0,0,41
"LA GUARDIA AIRPORT, NY US",12/7/18,14.99,0,0,40
"LA GUARDIA AIRPORT, NY US",12/8/18,10.51,0,0,36
"LA GUARDIA AIRPORT, NY US",12/9/18,6.71,0,0,37
"LA GUARDIA AIRPORT, NY US",12/10/18,9.84,0,0,40
"LA GUARDIA AIRPORT, NY US",12/11/18,8.05,0,0,41
"LA GUARDIA AIRPORT, NY US",12/12/18,11.63,0,0,41
"LA GUARDIA AIRPORT, NY US",12/13/18,12.3,0.07,0,42
"LA GUARDIA AIRPORT, NY US",12/14/18,7.38,0.1,0,52
"LA GUARDIA AIRPORT, NY US",12/15/18,8.72,0.14,0,50
"LA GUARDIA AIRPORT, NY US",12/16/18,19.69,1.29,0,46
"LA GUARDIA AIRPORT, NY US",12/17/18,17.9,0,0,46
"LA GUARDIA AIRPORT, NY US",12/18/18,20.8,0,0,41
"LA GUARDIA AIRPORT, NY US",12/19/18,7.83,0,0,42
"LA GUARDIA AIRPORT, NY US",12/20/18,8.05,0.24,0,46
"LA GUARDIA AIRPORT, NY US",12/21/18,15.88,1.69,0,62
"LA GUARDIA AIRPORT, NY US",12/22/18,19.01,0,0,53
"LA GUARDIA AIRPORT, NY US",12/23/18,10.07,0,0,44
"LA GUARDIA AIRPORT, NY US",12/24/18,9.84,0.09,0,43
"LA GUARDIA AIRPORT, NY US",12/25/18,12.97,0,0,41
"LA GUARDIA AIRPORT, NY US",12/26/18,9.62,0,0,43
"LA GUARDIA AIRPORT, NY US",12/27/18,9.62,0,0,43
"LA GUARDIA AIRPORT, NY US",12/28/18,9.4,1.13,0,58
"LA GUARDIA AIRPORT, NY US",12/29/18,15.43,0,0,57
"LA GUARDIA AIRPORT, NY US",12/30/18,6.93,0,0,40
"LA GUARDIA AIRPORT, NY US",12/31/18,7.83,1.31,0,47
